"","GoodStudent","Age","SocioEcon","RiskAversion","VehicleYear","ThisCarDam","RuggedAuto","Accident","MakeModel","DrivQuality","Mileage","Antilock","DrivingSkill","SeniorTrain","ThisCarCost","Theft","CarValue","HomeBase","AntiTheft","PropCost","OtherCarCost","OtherCar","MedCost","Cushioning","Airbag","ILiCost","DrivHist"
"69","False","Adult","Prole","Normal","Older","Mild","EggShell","Mild","Economy","Poor","Domino","False","SubStandard","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Many"
"70","False","Adult","UpperMiddle","Adventurous","Current","Severe","EggShell","Severe","FamilySedan","Poor","FiftyThou","False","Normal","False","HundredThou","False","TwentyThou","Rural","False","Million","HundredThou","True","Million","Poor","True","Thousand","Zero"
"71","False","Adult","UpperMiddle","Adventurous","Older","None","Tank","None","Luxury","Excellent","TwentyThou","False","Normal","False","Thousand","False","TenThou","Suburb","False","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"72","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Expert","False","Thousand","False","FiveThou","City","True","TenThou","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"73","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiveThou","False","Normal","False","Thousand","False","TenThou","Rural","True","TenThou","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"74","False","Adult","Prole","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"75","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","True","Thousand","Thousand","False","Thousand","Poor","False","Thousand","Zero"
"76","False","Adolescent","Middle","Adventurous","Older","Moderate","Tank","Severe","FamilySedan","Poor","TwentyThou","False","Normal","False","TenThou","False","FiveThou","Suburb","False","TenThou","TenThou","True","Thousand","Excellent","False","Thousand","Many"
"77","False","Adolescent","Prole","Adventurous","Current","Severe","EggShell","Moderate","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","TenThou","City","False","TenThou","Thousand","False","Thousand","Poor","True","Thousand","Many"
"78","False","Adolescent","Middle","Normal","Older","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","TenThou","Secure","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"79","False","Adult","UpperMiddle","Normal","Current","None","EggShell","None","SportsCar","Normal","FiftyThou","True","Normal","False","Thousand","False","TenThou","Suburb","True","Thousand","Thousand","False","Thousand","Poor","True","Thousand","Zero"
"80","False","Adult","Prole","Normal","Current","None","Football","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","TenThou","City","False","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Many"
"81","False","Adolescent","Prole","Adventurous","Older","Severe","EggShell","Severe","Economy","Poor","FiftyThou","False","SubStandard","False","TenThou","False","FiveThou","City","False","HundredThou","HundredThou","False","TenThou","Poor","False","TenThou","Many"
"82","False","Adult","UpperMiddle","Adventurous","Current","None","EggShell","None","SportsCar","Normal","TwentyThou","True","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"83","False","Senior","Middle","Cautious","Current","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","True","Thousand","False","TenThou","Secure","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"84","False","Adult","Middle","Normal","Current","None","Football","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","One"
"85","False","Adult","Middle","Adventurous","Current","Severe","Football","Severe","FamilySedan","Poor","TwentyThou","False","SubStandard","False","HundredThou","False","TwentyThou","City","False","HundredThou","TenThou","False","Thousand","Good","True","HundredThou","One"
"86","False","Adult","Prole","Normal","Older","None","Football","None","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TwentyThou","City","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"87","False","Adolescent","UpperMiddle","Cautious","Current","None","Tank","None","Luxury","Normal","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"88","False","Adolescent","Prole","Adventurous","Older","None","EggShell","None","Economy","Poor","FiveThou","False","Normal","False","Thousand","False","TenThou","City","False","TenThou","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"89","False","Adolescent","Prole","Normal","Current","Severe","EggShell","Severe","Economy","Poor","Domino","False","SubStandard","False","TenThou","False","TenThou","City","False","Million","HundredThou","False","Thousand","Fair","True","TenThou","Many"
"90","False","Adult","Prole","Cautious","Older","Mild","Tank","Moderate","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","City","True","TenThou","Thousand","False","Thousand","Excellent","False","Thousand","Many"
"91","False","Adult","Prole","Normal","Older","Severe","EggShell","Severe","SportsCar","Poor","FiftyThou","False","SubStandard","False","TenThou","False","TenThou","Rural","False","HundredThou","TenThou","True","Thousand","Good","True","Thousand","Many"
"92","False","Adult","Prole","Normal","Older","None","EggShell","None","Economy","Normal","Domino","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"93","False","Adult","Middle","Cautious","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"94","False","Senior","Middle","Normal","Current","Mild","Football","Mild","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TwentyThou","Suburb","False","TenThou","Thousand","True","Thousand","Fair","True","Thousand","One"
"95","False","Adult","Middle","Cautious","Older","Mild","Tank","Severe","FamilySedan","Poor","FiftyThou","False","SubStandard","False","Thousand","False","FiveThou","Secure","True","TenThou","TenThou","False","Thousand","Good","False","Thousand","One"
"96","False","Adult","Middle","Normal","Current","Mild","Football","Mild","FamilySedan","Poor","FiftyThou","True","SubStandard","False","Thousand","False","TwentyThou","Suburb","True","TenThou","Thousand","True","Thousand","Excellent","True","Thousand","Many"
"97","False","Adult","Prole","Adventurous","Older","Mild","Tank","Moderate","FamilySedan","Poor","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","Rural","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Many"
"98","False","Adult","UpperMiddle","Cautious","Current","None","EggShell","None","Luxury","Excellent","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","Secure","True","TenThou","Thousand","True","Thousand","Fair","True","Thousand","Zero"
"99","False","Adult","UpperMiddle","Normal","Current","None","Football","None","Luxury","Normal","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","Suburb","True","Thousand","Thousand","True","Thousand","Fair","True","Thousand","One"
"100","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Secure","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"101","False","Senior","Prole","Cautious","Current","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","True","Thousand","False","TenThou","City","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"102","False","Adolescent","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"103","False","Senior","Middle","Cautious","Current","None","EggShell","None","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","TenThou","Secure","True","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Many"
"104","False","Adolescent","Prole","Adventurous","Current","None","Football","None","FamilySedan","Poor","FiftyThou","True","SubStandard","False","Thousand","False","TwentyThou","Rural","False","TenThou","Thousand","False","Thousand","Good","True","Thousand","Many"
"105","False","Adult","Prole","Normal","Older","Severe","Football","Severe","Economy","Poor","TwentyThou","False","SubStandard","False","Thousand","False","FiveThou","Rural","False","TenThou","TenThou","True","Thousand","Good","False","HundredThou","Many"
"106","False","Senior","Prole","Normal","Older","None","EggShell","None","Economy","Excellent","FiftyThou","False","Expert","True","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"107","False","Senior","UpperMiddle","Normal","Current","None","Football","None","Luxury","Normal","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","Suburb","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"108","False","Adult","UpperMiddle","Normal","Current","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"109","False","Adolescent","Prole","Normal","Older","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","City","False","TenThou","Thousand","False","Thousand","Good","False","Thousand","Zero"
"110","False","Senior","Prole","Normal","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","False","Thousand","Thousand","True","Thousand","Fair","False","Thousand","One"
"111","False","Adult","UpperMiddle","Cautious","Current","None","Football","None","Luxury","Normal","TwentyThou","True","Normal","False","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
"112","False","Adult","Prole","Adventurous","Older","None","EggShell","None","SportsCar","Excellent","TwentyThou","False","Normal","False","Thousand","False","FiveThou","City","False","TenThou","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"113","False","Senior","Prole","Cautious","Older","None","Football","None","FamilySedan","Excellent","FiftyThou","False","Expert","True","Thousand","False","FiveThou","City","True","TenThou","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"114","False","Adolescent","Middle","Adventurous","Older","None","Tank","None","FamilySedan","Normal","TwentyThou","False","Normal","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Good","False","Thousand","Zero"
"115","False","Adult","Prole","Adventurous","Current","None","EggShell","None","Economy","Normal","TwentyThou","False","Normal","False","Thousand","False","FiveThou","Rural","False","Thousand","Thousand","True","Thousand","Fair","True","Thousand","One"
"116","False","Senior","UpperMiddle","Normal","Current","None","Football","None","Luxury","Normal","TwentyThou","True","Normal","True","Thousand","False","FiftyThou","Secure","True","Thousand","Thousand","False","Thousand","Good","True","Thousand","Zero"
"117","False","Adult","Middle","Normal","Current","None","EggShell","None","FamilySedan","Excellent","FiftyThou","True","Expert","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","True","Thousand","Poor","True","Thousand","Zero"
"118","False","Adolescent","Middle","Adventurous","Current","Mild","Football","Mild","FamilySedan","Poor","FiveThou","False","SubStandard","False","Thousand","False","TwentyThou","Suburb","False","Thousand","Thousand","False","Thousand","Good","True","Thousand","Many"
"119","False","Senior","Middle","Normal","Older","None","Tank","None","FamilySedan","Normal","FiftyThou","False","Normal","True","Thousand","False","FiveThou","Secure","False","Thousand","Thousand","True","Thousand","Excellent","True","Thousand","Zero"
"120","False","Adult","UpperMiddle","Normal","Current","None","Tank","None","FamilySedan","Normal","TwentyThou","True","Normal","False","Thousand","False","TwentyThou","Secure","True","Thousand","Thousand","False","Thousand","Excellent","True","Thousand","Zero"
"121","False","Senior","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","True","Thousand","False","FiveThou","City","True","Thousand","Thousand","True","Thousand","Poor","False","Thousand","Zero"
"122","False","Adult","Middle","Adventurous","Current","Mild","Football","Mild","FamilySedan","Poor","FiftyThou","False","Normal","False","Thousand","False","TwentyThou","Rural","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Many"
"123","False","Senior","UpperMiddle","Adventurous","Current","None","EggShell","None","Luxury","Poor","TwentyThou","True","SubStandard","False","Thousand","False","FiftyThou","Secure","True","TenThou","Thousand","True","Thousand","Fair","True","Thousand","Many"
"124","False","Adult","Middle","Normal","Current","Moderate","EggShell","Moderate","FamilySedan","Normal","Domino","False","Normal","False","HundredThou","False","TwentyThou","Secure","False","HundredThou","Thousand","False","Thousand","Good","True","Thousand","Zero"
"125","False","Adult","Prole","Adventurous","Older","None","EggShell","None","Economy","Excellent","TwentyThou","False","Expert","False","Thousand","False","TenThou","City","False","Thousand","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"126","False","Adult","Prole","Cautious","Older","None","EggShell","None","Economy","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","City","True","TenThou","Thousand","False","Thousand","Fair","False","Thousand","Zero"
"127","False","Adult","Middle","Normal","Older","None","Football","None","FamilySedan","Normal","FiftyThou","False","Normal","False","Thousand","False","FiveThou","Rural","False","Thousand","Thousand","True","Thousand","Good","True","Thousand","Zero"
